/usr/local/lib/python3.11/dist-packages/torch/utils/data/dataloader.py:624: UserWarning: This DataLoader will create 8 worker processes in total. Our suggested max number of worker in current system is 2, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(
==========================================================================================
Config options:

  IMAGE_PATH               	/content/drive/MyDrive/Colab/HiNet_all/HiNet_all/HiNet/image/
  IMAGE_PATH_cover         	/content/drive/MyDrive/Colab/HiNet_all/HiNet_all/HiNet/image/cover/
  IMAGE_PATH_secret        	/content/drive/MyDrive/Colab/HiNet_all/HiNet_all/HiNet/image/secret/
  IMAGE_PATH_secret_rev    	/content/drive/MyDrive/Colab/HiNet_all/HiNet_all/HiNet/image/secret-rev/
  IMAGE_PATH_steg          	/content/drive/MyDrive/Colab/HiNet_all/HiNet_all/HiNet/image/steg/
  MODEL_PATH               	/content/drive/MyDrive/Colab/HiNet_all/HiNet_all/HiNet/model/
  SAVE_freq                	50
  TRAIN_PATH               	/content/drive/MyDrive/Colab/HiNet_all/HiNet_all/DIV2K_train_HR/DIV2K_train_HR/
  VAL_PATH                 	/content/drive/MyDrive/Colab/HiNet_all/HiNet_all/DIV2K_valid_HR/DIV2K_valid_HR/
  batch_size               	4
  batchsize_val            	2
  betas                    	(0.5, 0.999)
  channels_in              	3
  checkpoint_on_error      	True
  clamp                    	2.0
  cropsize                 	224
  cropsize_val             	1024
  device_ids               	[0]
  epochs                   	1000
  format_train             	png
  format_val               	png
  gamma                    	0.5
  init_model_path          	/content/drive/MyDrive/Colab/HiNet_all/HiNet_all/HiNet/model/model.pt
  init_scale               	0.01
  lamda_guide              	1
  lamda_low_frequency      	1
  lamda_reconstruction     	5
  live_visualization       	False
  log10_lr                 	-5.5
  loss_display_cutoff      	2.0
  loss_names               	['L', 'lr']
  lr                       	3.162277660168379e-06
  milestones               	[5, 8]
  progress_bar             	False
  shuffle_val              	False
  silent                   	False
  suffix                   	model.pt
  tain_next                	False
  trained_epoch            	0
  val_freq                 	50
  weight_decay             	1e-05
  weight_step              	1000
==========================================================================================

Epoch		L		lr
074		2.3711		-5.5000
075		1.8661		-5.5000
076		2.3993		-5.5000
077		2.3593		-5.5000
078		2.3892		-5.5000
079		2.2609		-5.5000
080		2.2825		-5.5000
081		1.8268		-5.5000
082		2.4416		-5.5000
083		2.4162		-5.5000
084		2.4433		-5.5000
085		2.2790		-5.5000
086		1.9789		-5.5000
087		2.0957		-5.5000
088		2.1519		-5.5000
089		2.2586		-5.5000
090		2.0456		-5.5000
091		2.1004		-5.5000
092		2.1406		-5.5000
093		1.9595		-5.5000
094		2.0776		-5.5000
095		1.8077		-5.5000
096		2.0778		-5.5000
097		2.1471		-5.5000
098		1.9026		-5.5000
099		1.8751		-5.5000
100		2.8441		-5.5000
101		1.9066		-5.5000
102		2.1100		-5.5000
103		2.6591		-5.5000
104		2.2463		-5.5000
105		2.3457		-5.5000
106		2.2592		-5.5000
107		2.1111		-5.5000
108		3.7074		-5.5000
109		2.3614		-5.5000
110		2.4133		-5.5000
111		3.0933		-5.5000
112		2.6811		-5.5000
113		3.3463		-5.5000
114		3.4537		-5.5000
115		3.3383		-5.5000
116		3.2531		-5.5000
117		4.0420		-5.5000
118		3.7368		-5.5000
119		4.3132		-5.5000
120		3.9734		-5.5000
121		4.5422		-5.5000
122		4.4084		-5.5000
123		3.6026		-5.5000
124		4.0567		-5.5000
125		4.9653		-5.5000
126		3.7172		-5.5000
127		4.9610		-5.5000
128		4.1039		-5.5000
129		3.5514		-5.5000
130		4.0336		-5.5000
131		3.4246		-5.5000
132		4.0067		-5.5000
133		4.6847		-5.5000
134		3.7087		-5.5000
135		3.3337		-5.5000
136		4.0626		-5.5000
137		3.5781		-5.5000
138		4.0080		-5.5000
139		5.3136		-5.5000
140		4.4553		-5.5000
141		5.5492		-5.5000
142		3.4968		-5.5000
143		2.9489		-5.5000
144		4.0879		-5.5000
145		3.5454		-5.5000
146		3.8134		-5.5000
147		2.8659		-5.5000
148		4.2927		-5.5000
149		2.6236		-5.5000
150		3.6482		-5.5000
151		3.5233		-5.5000
152		3.5192		-5.5000
153		4.2597		-5.5000
154		3.3757		-5.5000
155		4.6707		-5.5000
156		3.6414		-5.5000
157		3.5815		-5.5000
158		2.8799		-5.5000
159		3.6608		-5.5000
160		2.8838		-5.5000
161		3.9352		-5.5000
162		3.4463		-5.5000
163		2.6223		-5.5000
164		3.7534		-5.5000
165		3.1930		-5.5000
166		3.2702		-5.5000
167		3.9027		-5.5000
168		3.7807		-5.5000
169		3.8895		-5.5000
170		3.2501		-5.5000
171		4.0618		-5.5000
172		2.8307		-5.5000
173		3.9348		-5.5000
174		3.7474		-5.5000
175		4.0200		-5.5000
176		3.0926		-5.5000
177		2.7190		-5.5000
178		3.4541		-5.5000
179		4.0148		-5.5000
180		4.2849		-5.5000
181		3.1620		-5.5000
182		3.9580		-5.5000
183		3.4492		-5.5000
184		3.9749		-5.5000
185		3.7741		-5.5000
186		3.8008		-5.5000
187		3.9173		-5.5000
188		3.4336		-5.5000
189		3.7508		-5.5000
190		2.9370		-5.5000
191		3.3471		-5.5000
192		3.8104		-5.5000
193		4.1753		-5.5000
194		3.8179		-5.5000
195		3.7871		-5.5000
196		4.2569		-5.5000
197		4.1026		-5.5000
198		3.3073		-5.5000
199		3.6009		-5.5000
200		3.7614		-5.5000
QAT Epoch 1/10: 100% 200/200 [06:26<00:00,  1.93s/it]
Epoch 1/10 - Loss: 3.7614
201		5.1014		-5.5000
202		3.3220		-5.5000
203		3.6987		-5.5000
204		3.3297		-5.5000
205		2.6922		-5.5000
206		3.6070		-5.5000
207		3.5876		-5.5000
208		2.6453		-5.5000
209		3.1706		-5.5000
210		2.8505		-5.5000
211		3.5630		-5.5000
212		2.2709		-5.5000
213		3.3568		-5.5000
214		3.7705		-5.5000
215		3.2400		-5.5000
216		3.5000		-5.5000
217		3.2845		-5.5000
218		2.9954		-5.5000
219		2.5410		-5.5000
220		2.8472		-5.5000
221		3.2443		-5.5000
222		3.5329		-5.5000
223		2.9431		-5.5000
224		3.2253		-5.5000
225		2.2009		-5.5000
226		2.5986		-5.5000
227		3.4915		-5.5000
228		4.0979		-5.5000
229		2.7425		-5.5000
230		3.9573		-5.5000
231		3.5474		-5.5000
232		2.9995		-5.5000
233		2.9028		-5.5000
234		2.2998		-5.5000
235		2.0772		-5.5000
236		2.0407		-5.5000
237		1.7277		-5.5000
238		1.7041		-5.5000
239		1.7332		-5.5000
240		1.7840		-5.5000
241		2.0814		-5.5000
242		1.8816		-5.5000
243		1.6871		-5.5000
244		1.9582		-5.5000
245		1.5992		-5.5000
246		1.5880		-5.5000
247		1.5663		-5.5000
248		1.5541		-5.5000
249		1.7111		-5.5000
250		1.5984		-5.5000
251		1.3356		-5.5000
252		1.3957		-5.5000
253		1.5107		-5.5000
254		1.6843		-5.5000
255		1.5419		-5.5000
256		1.4231		-5.5000
257		1.4790		-5.5000
258		1.3227		-5.5000
259		1.5986		-5.5000
260		1.6767		-5.5000
261		1.4048		-5.5000
262		1.6367		-5.5000
263		1.2899		-5.5000
264		1.6775		-5.5000
265		1.4365		-5.5000
266		1.5638		-5.5000
267		1.3043		-5.5000
268		1.5112		-5.5000
269		1.5265		-5.5000
270		1.5404		-5.5000
271		1.8685		-5.5000
272		1.4172		-5.5000
273		1.2280		-5.5000
274		1.3676		-5.5000
275		1.3469		-5.5000
276		1.4898		-5.5000
277		1.0369		-5.5000
278		1.4700		-5.5000
279		1.7924		-5.5000
280		1.5740		-5.5000
281		1.4836		-5.5000
282		1.5104		-5.5000
283		1.6067		-5.5000
284		1.3943		-5.5000
285		1.2588		-5.5000
286		1.2547		-5.5000
287		1.4058		-5.5000
288		1.6398		-5.5000
289		1.4062		-5.5000
290		1.3178		-5.5000
291		1.3671		-5.5000
292		1.4053		-5.5000
293		1.2129		-5.5000
294		1.5458		-5.5000
295		1.3086		-5.5000
296		1.5147		-5.5000
297		1.4899		-5.5000
298		1.3430		-5.5000
299		1.4818		-5.5000
300		1.3377		-5.5000
301		1.0338		-5.5000
302		1.3268		-5.5000
303		1.2168		-5.5000
304		1.3968		-5.5000
305		1.6709		-5.5000
306		1.6819		-5.5000
307		0.9529		-5.5000
308		1.4577		-5.5000
309		1.4311		-5.5000
310		1.8306		-5.5000
311		1.4404		-5.5000
312		1.4435		-5.5000
313		1.3911		-5.5000
314		1.3313		-5.5000
315		1.4920		-5.5000
316		1.5370		-5.5000
317		1.6349		-5.5000
318		1.5420		-5.5000
319		1.7519		-5.5000
320		1.8126		-5.5000
321		1.5089		-5.5000
322		1.7817		-5.5000
323		1.7904		-5.5000
324		1.8119		-5.5000
325		1.7084		-5.5000
326		1.6349		-5.5000
327		1.7374		-5.5000
328		1.4580		-5.5000
329		1.8611		-5.5000
330		1.8807		-5.5000
331		1.8282		-5.5000
332		1.8430		-5.5000
333		1.8143		-5.5000
334		1.6888		-5.5000
335		1.7338		-5.5000
336		1.6936		-5.5000
337		1.3268		-5.5000
338		1.6283		-5.5000
339		2.0979		-5.5000
340		1.9278		-5.5000
341		1.4829		-5.5000
342		1.5124		-5.5000
343		1.6396		-5.5000
344		1.9759		-5.5000
345		1.6012		-5.5000
346		1.7874		-5.5000
347		1.7022		-5.5000
348		1.7992		-5.5000
349		1.8034		-5.5000
350		1.9377		-5.5000
351		1.6015		-5.5000
352		1.9672		-5.5000
353		2.5700		-5.5000
354		2.1443		-5.5000
355		1.8085		-5.5000
356		1.9528		-5.5000
357		2.1167		-5.5000
358		2.3315		-5.5000
359		1.7776		-5.5000
360		1.8281		-5.5000
361		1.7247		-5.5000
362		1.8935		-5.5000
363		1.6826		-5.5000
364		1.8591		-5.5000
365		1.8989		-5.5000
366		1.8515		-5.5000
367		2.0584		-5.5000
368		1.9473		-5.5000
369		1.8848		-5.5000
370		1.9109		-5.5000
371		1.5773		-5.5000
372		2.0184		-5.5000
373		1.8972		-5.5000
374		2.1413		-5.5000
375		1.4544		-5.5000
376		1.9610		-5.5000
377		1.8526		-5.5000
378		1.9532		-5.5000
379		1.7039		-5.5000
380		1.9556		-5.5000
381		1.7688		-5.5000
382		1.8517		-5.5000
383		1.8450		-5.5000
384		2.0392		-5.5000
385		1.8308		-5.5000
386		1.7147		-5.5000
387		1.8937		-5.5000
388		1.7757		-5.5000
389		1.8340		-5.5000
390		1.8584		-5.5000
391		2.0630		-5.5000
392		1.8380		-5.5000
393		1.8889		-5.5000
394		2.0082		-5.5000
395		1.8183		-5.5000
396		1.3422		-5.5000
397		1.5562		-5.5000
398		1.6126		-5.5000
399		1.9035		-5.5000
400		1.9319		-5.5000
QAT Epoch 2/10: 100% 200/200 [06:22<00:00,  1.91s/it]
Epoch 2/10 - Loss: 1.9319
401		1.7384		-5.5000
402		1.9229		-5.5000
403		2.4035		-5.5000
404		2.0314		-5.5000
405		1.7927		-5.5000
406		1.6360		-5.5000
407		1.6576		-5.5000
408		1.8043		-5.5000
409		1.9583		-5.5000
410		2.0454		-5.5000
411		1.6172		-5.5000
412		1.7013		-5.5000
413		1.8063		-5.5000
414		1.8776		-5.5000
415		1.6890		-5.5000
416		1.8555		-5.5000
417		2.0175		-5.5000
418		1.8439		-5.5000
419		2.1476		-5.5000
420		1.7539		-5.5000
421		1.7384		-5.5000
422		1.5987		-5.5000
423		2.0922		-5.5000
424		1.5412		-5.5000
425		1.6998		-5.5000
426		1.6302		-5.5000
427		1.5693		-5.5000
428		1.5940		-5.5000
429		1.7977		-5.5000
430		1.6085		-5.5000
431		1.5111		-5.5000
432		1.6277		-5.5000
433		2.2053		-5.5000
434		2.3701		-5.5000
435		1.6416		-5.5000
436		1.5657		-5.5000
437		1.5290		-5.5000
438		1.8790		-5.5000
439		1.7497		-5.5000
440		1.5774		-5.5000
441		1.6691		-5.5000
442		1.5679		-5.5000
443		1.6604		-5.5000
444		1.6922		-5.5000
445		1.3534		-5.5000
446		1.6043		-5.5000
447		1.6573		-5.5000
448		1.6214		-5.5000
449		1.5725		-5.5000
450		1.3499		-5.5000
451		1.7404		-5.5000
452		1.5432		-5.5000
453		1.3956		-5.5000
454		1.7435		-5.5000
455		1.4442		-5.5000
456		1.7016		-5.5000
457		1.4538		-5.5000
458		1.7562		-5.5000
459		1.6417		-5.5000
460		1.3571		-5.5000
461		1.6204		-5.5000
462		1.3980		-5.5000
463		1.5323		-5.5000
464		1.2319		-5.5000
465		1.3035		-5.5000
466		1.4288		-5.5000
467		1.5909		-5.5000
468		1.3320		-5.5000
469		1.7007		-5.5000
470		1.3842		-5.5000
471		1.3221		-5.5000
472		1.2860		-5.5000
473		2.1379		-5.5000
474		1.4155		-5.5000
475		1.7757		-5.5000
476		1.5915		-5.5000
477		1.3719		-5.5000
478		1.5681		-5.5000
479		1.3764		-5.5000
480		1.5165		-5.5000
481		1.4295		-5.5000
482		1.3698		-5.5000
483		1.6670		-5.5000
484		1.4030		-5.5000
485		1.3359		-5.5000
486		1.4598		-5.5000
487		1.4953		-5.5000
488		1.3217		-5.5000
489		1.4131		-5.5000
490		1.3023		-5.5000
491		1.5819		-5.5000
492		1.5757		-5.5000
493		1.6438		-5.5000
494		1.3781		-5.5000
495		1.4486		-5.5000
496		1.4788		-5.5000
497		1.5185		-5.5000
498		1.7156		-5.5000
499		1.7551		-5.5000
500		1.4751		-5.5000
501		1.5656		-5.5000
502		1.6180		-5.5000
503		1.4441		-5.5000
504		1.3170		-5.5000
505		1.9068		-5.5000
506		1.3929		-5.5000
507		1.2906		-5.5000
508		1.3305		-5.5000
509		1.5992		-5.5000
510		1.6072		-5.5000
511		1.2476		-5.5000
512		1.3732		-5.5000
513		1.1978		-5.5000
514		1.2764		-5.5000
515		1.5719		-5.5000
516		1.5780		-5.5000
517		1.5643		-5.5000
518		1.2803		-5.5000
519		1.3345		-5.5000
520		1.5233		-5.5000
521		1.1368		-5.5000
522		1.4107		-5.5000
523		1.5366		-5.5000
524		1.4791		-5.5000
525		1.5327		-5.5000
526		1.7273		-5.5000
527		1.6236		-5.5000
528		1.1861		-5.5000
529		1.4845		-5.5000
530		1.3739		-5.5000
531		1.2515		-5.5000
532		1.3277		-5.5000
533		1.2537		-5.5000
534		1.3215		-5.5000
535		1.2875		-5.5000
536		1.2640		-5.5000
537		1.2694		-5.5000
538		1.3270		-5.5000
539		1.4359		-5.5000
540		1.2978		-5.5000
541		1.2565		-5.5000
542		1.2542		-5.5000
543		1.2325		-5.5000
544		1.2526		-5.5000
545		1.3292		-5.5000
546		1.3307		-5.5000
547		1.2053		-5.5000
548		1.3675		-5.5000
549		1.2461		-5.5000
550		1.2075		-5.5000
551		1.3503		-5.5000
552		1.0832		-5.5000
553		1.1779		-5.5000
554		1.2097		-5.5000
555		1.2225		-5.5000
556		1.2407		-5.5000
557		1.2999		-5.5000
558		1.1680		-5.5000
559		1.2698		-5.5000
560		1.2592		-5.5000
561		1.2773		-5.5000
562		1.3030		-5.5000
563		1.0471		-5.5000
564		1.3246		-5.5000
565		1.2578		-5.5000
566		1.1864		-5.5000
567		1.2770		-5.5000
568		1.1753		-5.5000
569		1.2891		-5.5000
570		1.2074		-5.5000
571		1.1472		-5.5000
572		1.1331		-5.5000
573		1.2125		-5.5000
574		1.3171		-5.5000
575		1.1194		-5.5000
576		1.0798		-5.5000
577		1.1565		-5.5000
578		1.1538		-5.5000
579		1.1847		-5.5000
580		1.4971		-5.5000
581		1.0807		-5.5000
582		1.0943		-5.5000
583		1.0926		-5.5000
584		1.2034		-5.5000
585		1.1432		-5.5000
586		1.1304		-5.5000
587		1.1413		-5.5000
588		1.0424		-5.5000
589		1.0947		-5.5000
590		1.1815		-5.5000
591		0.9741		-5.5000
592		0.9903		-5.5000
593		1.2380		-5.5000
594		1.0411		-5.5000
595		1.2294		-5.5000
596		1.2856		-5.5000
597		1.0440		-5.5000
598		1.1124		-5.5000
599		1.1144		-5.5000
600		1.4171		-5.5000
QAT Epoch 3/10: 100% 200/200 [06:22<00:00,  1.91s/it]
Epoch 3/10 - Loss: 1.4171
601		1.1090		-5.5000
602		1.0037		-5.5000
603		1.1285		-5.5000
604		1.1066		-5.5000
605		1.1881		-5.5000
606		1.0416		-5.5000
607		1.2654		-5.5000
608		1.1485		-5.5000
609		1.0664		-5.5000
610		1.1752		-5.5000
611		1.3940		-5.5000
612		1.1071		-5.5000
613		1.1913		-5.5000
614		1.2992		-5.5000
615		1.1233		-5.5000
616		0.9448		-5.5000
617		1.0653		-5.5000
618		0.8928		-5.5000
619		1.0385		-5.5000
620		1.1477		-5.5000
621		1.0418		-5.5000
622		1.2173		-5.5000
623		1.2326		-5.5000
624		1.0974		-5.5000
625		1.2774		-5.5000
626		1.3433		-5.5000
627		0.9477		-5.5000
628		0.9207		-5.5000
629		1.0695		-5.5000
630		1.0365		-5.5000
631		1.1556		-5.5000
632		1.3927		-5.5000
633		0.9916		-5.5000
634		0.9264		-5.5000
635		1.0344		-5.5000
636		0.9401		-5.5000
637		0.9663		-5.5000
638		0.9555		-5.5000
639		0.9429		-5.5000
640		0.9040		-5.5000
641		0.8825		-5.5000
642		1.0117		-5.5000
643		1.1011		-5.5000
644		0.9711		-5.5000
645		0.9970		-5.5000
646		0.9016		-5.5000
647		0.8993		-5.5000
648		0.9603		-5.5000
649		1.0309		-5.5000
650		1.1039		-5.5000
651		0.9604		-5.5000
652		0.9694		-5.5000
653		0.9694		-5.5000
654		0.9047		-5.5000
655		1.0541		-5.5000
656		1.1579		-5.5000
657		1.1022		-5.5000
658		1.0840		-5.5000
659		1.3322		-5.5000
660		0.9204		-5.5000
661		1.1032		-5.5000
662		0.9199		-5.5000
663		1.0131		-5.5000
664		1.1202		-5.5000
665		1.1017		-5.5000
666		1.0421		-5.5000
667		0.8406		-5.5000
668		0.8113		-5.5000
669		1.0108		-5.5000
670		1.0189		-5.5000
671		0.9724		-5.5000
672		1.0386		-5.5000
673		1.1336		-5.5000
674		0.8254		-5.5000
675		0.9288		-5.5000
676		0.9487		-5.5000
677		1.0838		-5.5000
678		1.0367		-5.5000
679		0.8949		-5.5000
680		1.1992		-5.5000
681		1.0844		-5.5000
682		0.9859		-5.5000
683		0.8982		-5.5000
684		0.9596		-5.5000
685		0.8720		-5.5000
686		1.0622		-5.5000
687		0.9003		-5.5000
688		0.9265		-5.5000
689		0.9771		-5.5000
690		0.8478		-5.5000
691		0.8813		-5.5000
692		0.9920		-5.5000
693		0.9204		-5.5000
694		0.8781		-5.5000
695		0.9338		-5.5000
696		1.0133		-5.5000
697		0.8968		-5.5000
698		0.7864		-5.5000
699		1.0971		-5.5000
700		0.9409		-5.5000
701		0.9485		-5.5000
702		0.8322		-5.5000
703		0.8753		-5.5000
704		0.7896		-5.5000
705		0.8901		-5.5000
706		0.7900		-5.5000
707		0.9180		-5.5000
708		0.8802		-5.5000
709		1.1099		-5.5000
710		0.8442		-5.5000
711		0.8616		-5.5000
712		0.8071		-5.5000
713		0.8722		-5.5000
714		0.8853		-5.5000
715		0.7862		-5.5000
716		1.0554		-5.5000
717		0.8344		-5.5000
718		0.8166		-5.5000
719		1.1246		-5.5000
720		1.1209		-5.5000
721		0.8833		-5.5000
722		0.9276		-5.5000
723		0.8197		-5.5000
724		0.7795		-5.5000
725		0.8630		-5.5000
726		0.8874		-5.5000
727		0.9866		-5.5000
728		0.9017		-5.5000
729		0.9287		-5.5000
730		0.8317		-5.5000
731		0.9876		-5.5000
732		0.9918		-5.5000
733		0.9183		-5.5000
734		0.8395		-5.5000
735		0.9067		-5.5000
736		0.8284		-5.5000
737		0.8653		-5.5000
738		0.9510		-5.5000
739		0.8227		-5.5000
740		0.8100		-5.5000
741		0.8027		-5.5000
742		0.7857		-5.5000
743		0.9927		-5.5000
744		0.8852		-5.5000
745		0.9523		-5.5000
746		0.8965		-5.5000
747		0.8274		-5.5000
748		0.7055		-5.5000
749		0.7042		-5.5000
750		0.8932		-5.5000
751		0.8315		-5.5000
752		0.8982		-5.5000
753		0.9847		-5.5000
754		0.8902		-5.5000
755		0.7178		-5.5000
756		0.9070		-5.5000
757		0.9217		-5.5000
758		0.9065		-5.5000
759		0.8387		-5.5000
760		0.8949		-5.5000
761		0.9563		-5.5000
762		0.7729		-5.5000
763		0.7373		-5.5000
764		0.8710		-5.5000
765		0.8868		-5.5000
766		0.7735		-5.5000
767		0.7354		-5.5000
768		0.8360		-5.5000
769		0.8560		-5.5000
770		0.9225		-5.5000
771		0.7782		-5.5000
772		0.8664		-5.5000
773		0.7176		-5.5000
774		0.7080		-5.5000
775		0.8278		-5.5000
776		0.8429		-5.5000
777		0.7966		-5.5000
778		0.8818		-5.5000
779		0.8864		-5.5000
780		0.8636		-5.5000
781		0.8048		-5.5000
782		0.7263		-5.5000
783		0.8996		-5.5000
784		0.9125		-5.5000
785		0.8646		-5.5000
786		0.7792		-5.5000
787		0.8213		-5.5000
788		0.7481		-5.5000
789		0.7914		-5.5000
790		0.8414		-5.5000
791		1.0795		-5.5000
792		0.7669		-5.5000
793		0.8951		-5.5000
794		0.9132		-5.5000
795		0.9612		-5.5000
796		0.7002		-5.5000
797		0.9854		-5.5000
798		0.7346		-5.5000
799		0.8220		-5.5000
800		0.6482		-5.5000
QAT Epoch 4/10: 100% 200/200 [06:21<00:00,  1.91s/it]
Epoch 4/10 - Loss: 0.6482
801		0.7695		-5.5000
802		0.7905		-5.5000
803		0.7555		-5.5000
804		1.1986		-5.5000
805		0.9132		-5.5000
806		0.8911		-5.5000
807		0.8175		-5.5000
808		0.9220		-5.5000
809		0.6937		-5.5000
810		0.7844		-5.5000
811		0.9050		-5.5000
812		0.7901		-5.5000
813		0.8882		-5.5000
814		0.7791		-5.5000
815		0.7215		-5.5000
816		0.8043		-5.5000
817		1.0484		-5.5000
818		0.7794		-5.5000
819		0.8711		-5.5000
820		0.9534		-5.5000
821		0.9052		-5.5000
822		0.8128		-5.5000
823		1.1626		-5.5000
824		0.7775		-5.5000
825		0.9996		-5.5000
826		0.9632		-5.5000
827		0.7383		-5.5000
828		0.8496		-5.5000
829		0.7191		-5.5000
830		0.7791		-5.5000
831		0.8473		-5.5000
832		0.9461		-5.5000
833		0.7315		-5.5000
834		0.9463		-5.5000
835		0.7178		-5.5000
836		0.7620		-5.5000
837		0.9192		-5.5000
838		0.7723		-5.5000
839		0.7172		-5.5000
840		0.7285		-5.5000
841		0.7330		-5.5000
842		0.7702		-5.5000
843		0.9036		-5.5000
844		0.7592		-5.5000
845		0.7964		-5.5000
846		0.8464		-5.5000
847		0.7551		-5.5000
848		0.8503		-5.5000
849		0.8191		-5.5000
850		0.9331		-5.5000
851		0.6911		-5.5000
852		0.8753		-5.5000
853		0.8879		-5.5000
854		0.9016		-5.5000
855		0.8337		-5.5000
856		0.9119		-5.5000
857		0.6808		-5.5000
858		0.8523		-5.5000
859		0.7654		-5.5000
860		0.8724		-5.5000
861		1.0171		-5.5000
862		0.8146		-5.5000
863		0.9628		-5.5000
864		0.6760		-5.5000
865		0.6851		-5.5000
866		0.8145		-5.5000
867		0.6714		-5.5000
868		0.7379		-5.5000
869		0.8762		-5.5000
870		0.7175		-5.5000
871		0.7169		-5.5000
872		0.8257		-5.5000
873		0.9821		-5.5000
874		0.7298		-5.5000
875		0.9066		-5.5000
876		0.7295		-5.5000
877		0.6601		-5.5000
878		0.8854		-5.5000
879		0.9284		-5.5000
880		0.7974		-5.5000
881		0.8859		-5.5000
882		0.9249		-5.5000
